year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2024,Laptop,MacBook Air,M3 15-inch,MBA-M3-15-2024-24GB,Apple M3 8-core (4P+4E),10-core GPU,"15.3"" Liquid Retina 2880x1864",24GB,512GB SSD,1.51,26999000,1770,60,IPS LCD Retina,16-core Neural Engine,Blibli 2025,100% Recycled Aluminum
2020,Laptop,MacBook Pro,M1 13-inch,MBP-M1-13-2020-256,Apple M1 8-core (4P+4E),8-core GPU,"13.3"" Retina 2560x1600",8GB,256GB SSD,1.4,14999000,983,60,IPS LCD Retina,16-core Neural Engine,Bhinneka 2025,100% Recycled Aluminum
2020,Laptop,MacBook Pro,M1 13-inch,MBP-M1-13-2020-512,Apple M1 8-core (4P+4E),8-core GPU,"13.3"" Retina 2560x1600",8GB,512GB SSD,1.4,16999000,1115,60,IPS LCD Retina,16-core Neural Engine,Bhinneka 2025,100% Recycled Aluminum
2022,Laptop,MacBook Pro,M2 13-inch,MBP-M2-13-2022-256,Apple M2 8-core (4P+4E),8-core GPU,"13.3"" Retina 2560x1600",8GB,256GB SSD,1.38,18999000,1245,60,IPS LCD Retina,16-core Neural Engine,Bhinneka 2025,100% Recycled Aluminum
2022,Laptop,MacBook Pro,M2 13-inch,MBP-M2-13-2022-512,Apple M2 8-core (4P+4E),10-core GPU,"13.3"" Retina 2560x1600",8GB,512GB SSD,1.38,21499000,1409,60,IPS LCD Retina,16-core Neural Engine,Bhinneka 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 14-inch,MBP-M4-14-2024-512,Apple M4 10-core (6P+4E),10-core GPU,"14.2"" Liquid Retina XDR 3024x1964",16GB,512GB SSD,1.55,27999000,1835,120,miniLED Liquid Retina XDR,16-core Neural Engine,Liputan6 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 14-inch,MBP-M4-14-2024-1TB-16GB,Apple M4 10-core (6P+4E),10-core GPU,"14.2"" Liquid Retina XDR 3024x1964",16GB,1TB SSD,1.55,31499000,2065,120,miniLED Liquid Retina XDR,16-core Neural Engine,Kompas Tekno 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 14-inch,MBP-M4-14-2024-1TB-24GB,Apple M4 10-core (6P+4E),10-core GPU,"14.2"" Liquid Retina XDR 3024x1964",24GB,1TB SSD,1.55,34499000,2261,120,miniLED Liquid Retina XDR,16-core Neural Engine,Liputan6 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 Pro 14-inch,MBP-M4Pro-14-2024-512,Apple M4 Pro 12-core (8P+4E),16-core GPU,"14.2"" Liquid Retina XDR 3024x1964",24GB,512GB SSD,1.6,34999000,2295,120,miniLED Liquid Retina XDR,16-core Neural Engine,ANTARA News 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 Pro 14-inch,MBP-M4Pro-14-2024-1TB,Apple M4 Pro 14-core (10P+4E),20-core GPU,"14.2"" Liquid Retina XDR 3024x1964",24GB,1TB SSD,1.6,38999000,2557,120,miniLED Liquid Retina XDR,16-core Neural Engine,Jagat Review 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 Pro 16-inch,MBP-M4Pro-16-2024-512,Apple M4 Pro 14-core (10P+4E),20-core GPU,"16.2"" Liquid Retina XDR 3456x2234",24GB,512GB SSD,2.14,42999000,2818,120,miniLED Liquid Retina XDR,16-core Neural Engine,ANTARA News 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 Pro 16-inch,MBP-M4Pro-16-2024-1TB,Apple M4 Pro 14-core (10P+4E),20-core GPU,"16.2"" Liquid Retina XDR 3456x2234",24GB,1TB SSD,2.14,46999000,3081,120,miniLED Liquid Retina XDR,16-core Neural Engine,Jagat Review 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 Max 14-inch,MBP-M4Max-14-2024-1TB,Apple M4 Max 14-core (10P+4E),32-core GPU,"14.2"" Liquid Retina XDR 3024x1964",36GB,1TB SSD,1.62,52999000,3475,120,miniLED Liquid Retina XDR,16-core Neural Engine,Detik Inet 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 Max 14-inch,MBP-M4Max-14-2024-1TB-48GB,Apple M4 Max 16-core (12P+4E),40-core GPU,"14.2"" Liquid Retina XDR 3024x1964",48GB,1TB SSD,1.62,56999000,3737,120,miniLED Liquid Retina XDR,16-core Neural Engine,Liputan6 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 Max 16-inch,MBP-M4Max-16-2024-1TB,Apple M4 Max 14-core (10P+4E),32-core GPU,"16.2"" Liquid Retina XDR 3456x2234",48GB,1TB SSD,2.15,60999000,3999,120,miniLED Liquid Retina XDR,16-core Neural Engine,ANTARA News 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 Max 16-inch,MBP-M4Max-16-2024-1TB-64GB,Apple M4 Max 16-core (12P+4E),40-core GPU,"16.2"" Liquid Retina XDR 3456x2234",64GB,1TB SSD,2.15,64999000,4261,120,miniLED Liquid Retina XDR,16-core Neural Engine,Liputan6 2025,100% Recycled Aluminum
2024,Laptop,MacBook Pro,M4 Max 16-inch,MBP-M4Max-16-2024-2TB,Apple M4 Max 16-core (12P+4E),40-core GPU,"16.2"" Liquid Retina XDR 3456x2234",64GB,2TB SSD,2.15,68499000,4491,120,miniLED Liquid Retina XDR,16-core Neural Engine,Liputan6 2025,100% Recycled Aluminum
