year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2024,Budget,MyBook Hype,MyBook Hype 5 16GB,AXIOO-HYPE-5-16GB,Intel Core i5-1035G4,Intel Iris Plus Graphics,"14"" 1920x1080",16GB,512GB SSD,1.4,5849000,390,60,IPS,,axiooworld.com,Plastic
2024,Mainstream,MyBook Z6,MyBook Z6 8GB,AXIOO-Z6-8GB,Intel Core i3-1215U,Intel UHD Graphics,"14"" 1920x1080",8GB,256GB SSD,1.4,5599000,373,60,IPS,,axiooworld.com,Plastic
2024,Budget,MyBook Hype,MyBook Hype 5 8GB,AXIOO-HYPE-5-8GB,Intel Core i5-1035G4,Intel Iris Plus Graphics,"14"" 1920x1080",8GB,512GB SSD,1.4,5549000,370,60,IPS,,axiooworld.com,Plastic
2024,Budget,MyBook Hype,MyBook Hype 5 AMD X6,AXIOO-HYPE-5-X6,AMD Ryzen 5-6600H,AMD Radeon Graphics,"14"" 1920x1080",16GB,512GB SSD,1.4,5699000,380,60,IPS,,axiooworld.com,Plastic
2024,Budget,MyBook Hype,MyBook Hype 5 AMD X5,AXIOO-HYPE-5-X5,AMD Ryzen 5-5625U,AMD Radeon Graphics,"14"" 1920x1080",16GB,512GB SSD,1.4,5499000,367,60,IPS,,axiooworld.com,Plastic
2024,Budget,MyBook Hype,MyBook Hype 5 AMD X3,AXIOO-HYPE-5-X3,AMD Ryzen 5-3500U,AMD Radeon Vega 8,"14"" 1920x1080",8GB,256GB SSD,1.4,4599000,307,60,IPS,,axiooworld.com,Plastic
2024,Budget,MyBook Hype,MyBook Hype 3,AXIOO-HYPE-3,Intel Core i3-1005G1,Intel UHD Graphics,"14"" 1920x1080",8GB,256GB SSD,1.4,3999000,267,60,IPS,,axiooworld.com,Plastic
2024,Budget,MyBook 14F,MyBook 14F,AXIOO-14F,Intel Celeron N4020,Intel UHD Graphics 600,"14"" 2560x1440",4GB,128GB SSD,1.38,2724000,182,60,IPS,,axiooworld.com,Plastic
2024,Budget,MyBook Hype,MyBook Hype 1,AXIOO-HYPE-1,Intel Celeron N4020,Intel UHD Graphics 600,"14"" 1366x768",4GB,128GB SSD,1.4,2499000,167,60,TN,,axiooworld.com,Plastic
2024,Budget,MyBook 11G,MyBook 11G 6GB,AXIOO-11G-6GB,Intel Celeron N4020,Intel UHD Graphics 600,"11.6"" 1920x1080",6GB,256GB SSD,1.1,2574000,172,60,IPS,,axiooworld.com,Plastic
2024,Budget,MyBook 11G,MyBook 11G 4GB,AXIOO-11G-4GB,Intel Celeron N4020,Intel UHD Graphics 600,"11.6"" 1920x1080",4GB,256GB SSD,1.1,2299000,153,60,IPS,,axiooworld.com,Plastic
2023,Mainstream,Aerobook,Aerobook i5,AXIOO-AEROBOOK-I5,Intel Core i5-4200U,Intel HD Graphics 4400,"13.3"" 1366x768",4GB,256GB SSD,1.4,5500000,367,60,TN,,axiooworld.com,Metal
2024,Budget,SlimBook,SlimBook 13,AXIOO-SLIMBOOK-13,Intel Celeron N4020,Intel UHD Graphics 600,"13.3"" 1920x1080",4GB,128GB SSD,1.3,3500000,233,60,IPS,,axiooworld.com,Plastic
2024,Budget,MyBook Lite,MyBook Lite 11,AXIOO-LITE-11,Intel Celeron N4020,Intel UHD Graphics 600,"11.6"" 1366x768",4GB,128GB eMMC,1.1,2500000,167,60,TN,,axiooworld.com,Plastic
