year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2024,Laptop,MSI Sword,16 HX B13VEKG,SWD-16HX-i7-RTX4050,Intel Core i7-14700HX,NVIDIA RTX 4050 6GB,"16"" QHD+ 2560x1600",16GB DDR5,1TB SSD,2.3,20999000,1376,240,IPS,,MSI Indonesia 2024,Aluminum-Plastic
2024,Laptop,MSI Sword,16 HX B13VFKG,SWD-16HX-i7-RTX4060,Intel Core i7-14700HX,NVIDIA RTX 4060 8GB,"16"" QHD+ 2560x1600",16GB DDR5,1TB SSD,2.3,22999000,1507,240,IPS,,Kekitaan 2025,Aluminum-Plastic
2024,Laptop,MSI Sword,17 HX,SWD-17HX-i7-RTX4070,Intel Core i7-14700HX,NVIDIA RTX 4070 8GB,"17"" FHD 1920x1080",32GB DDR5,1TB SSD,2.7,25999000,1704,144,IPS,,TechNave Malaysia 2025,Aluminum-Plastic
2023,Laptop,MSI Pulse,15 B13VFK,PLS-15-i9-RTX4060,Intel Core i9-13900H,NVIDIA RTX 4060 8GB,"15.6"" FHD 1920x1080",16GB DDR5,1TB SSD,2.3,23999000,1573,144,IPS,,MSI Indonesia 2024,Aluminum-Plastic
2023,Laptop,MSI Pulse,17 B13VGK,PLS-17-i7-RTX4070,Intel Core i7-13700H,NVIDIA RTX 4070 8GB,"17"" QHD 2560x1440",32GB DDR5,1TB SSD,2.9,28999000,1901,165,IPS,,MSI Indonesia 2024,Aluminum-Plastic
2023,Laptop,MSI Crosshair,15 Rainbow Six,CRS-15-R6-i9-RTX3060,Intel Core i9-12900H,NVIDIA RTX 3060 6GB,"15.6"" QHD 2560x1440",16GB DDR5,1TB SSD,2.3,27999000,1835,165,IPS,,Pricebook 2025,Magnesium Alloy
2024,Laptop,MSI Crosshair,16 HX AI D2XWGKG,CRS-16HX-U9-RTX5070,Intel Core Ultra 9 275HX,NVIDIA RTX 5070 8GB,"16"" QHD+ 2560x1600",32GB DDR5,1TB SSD,2.5,30900000,2026,240,IPS,AI 798 TOPS,IDN Times 2025,Magnesium Alloy
2023,Laptop,MSI Vector,GP77 13VF,VEC-GP77-i7-RTX4060,Intel Core i7-13700H,NVIDIA RTX 4060 8GB,"17"" FHD 1920x1080",16GB DDR5,1TB SSD,2.8,24999000,1638,144,IPS,,MSI Indonesia 2024,Aluminum
2023,Laptop,MSI Vector,GP77 13VG,VEC-GP77-i9-RTX4070,Intel Core i9-13980HX,NVIDIA RTX 4070 8GB,"17"" QHD 2560x1440",32GB DDR5,1TB SSD,2.8,29999000,1967,240,IPS,,MSI Indonesia 2024,Aluminum
2023,Laptop,MSI Vector,GP78HX 13VG,VEC-GP78HX-i9-RTX4070,Intel Core i9-13980HX,NVIDIA RTX 4070 8GB,"17"" QHD+ 2560x1600",32GB DDR5,1TB SSD,3.1,32999000,2163,240,IPS,,MSI Indonesia 2024,Aluminum
2023,Laptop,MSI Vector,GP78HX 13VI,VEC-GP78HX-i9-RTX4090,Intel Core i9-13980HX,NVIDIA RTX 4090 16GB,"17"" QHD+ 2560x1600",64GB DDR5,2TB SSD,3.1,44999000,2950,240,IPS,,MSI Indonesia 2024,Aluminum
2024,Laptop,MSI Vector,16 HX A13V,VEC-16HX-i9-RTX4080,Intel Core i9-13980HX,NVIDIA RTX 4080 12GB,"16"" QHD+ 2560x1600",64GB DDR5,2TB SSD,2.7,39999000,2623,240,miniLED,,MSI Indonesia 2024,Aluminum
2025,Laptop,MSI Vector,17 HX AI A2XWJG,VEC-17HX-U9-RTX5090,Intel Core Ultra 9 275HX,NVIDIA RTX 5090 24GB,"17"" QHD+ 2560x1600",64GB DDR5,2TB SSD,3.1,58999000,3868,240,miniLED,AI 798 TOPS,IDN Times 2025,Aluminum
2023,Laptop,MSI Stealth,15 A13VF,STL-15-i7-RTX4060,Intel Core i7-13620H,NVIDIA RTX 4060 8GB,"15.6"" FHD 1920x1080",16GB DDR5,1TB SSD,1.99,23999000,1573,144,OLED,,MSI Malaysia 2023,Aluminum
2023,Laptop,MSI Stealth,14 Studio A13VE,STL-14S-i7-RTX4050,Intel Core i7-13700H,NVIDIA RTX 4050 6GB,"14"" QHD+ OLED 2880x1800",32GB LPDDR5,1TB SSD,1.7,26999000,1770,240,OLED,,MSI Malaysia 2023,Aluminum
2023,Laptop,MSI Stealth,14 Studio A13VF,STL-14S-i9-RTX4060,Intel Core i9-13900H,NVIDIA RTX 4060 8GB,"14"" QHD+ OLED 2880x1800",32GB LPDDR5,1TB SSD,1.7,29999000,1967,240,OLED,,MSI Indonesia 2023,Aluminum
2024,Laptop,MSI Stealth,16 Studio A13VF,STL-16S-i7-RTX4060,Intel Core i7-13700H,NVIDIA RTX 4060 8GB,"16"" QHD+ OLED 2560x1600",32GB DDR5,1TB SSD,1.99,28999000,1901,240,OLED,,MSI Malaysia 2023,Aluminum
2024,Laptop,MSI Stealth,16 Studio A13VG,STL-16S-i9-RTX4070,Intel Core i9-13900H,NVIDIA RTX 4070 8GB,"16"" QHD+ miniLED 2560x1600",32GB DDR5,2TB SSD,2.1,34999000,2295,240,miniLED,,Kana Komputer 2025,Aluminum
2023,Laptop,MSI Stealth,17 Studio A13VE,STL-17S-i7-RTX4050,Intel Core i7-13700H,NVIDIA RTX 4050 6GB,"17"" UHD miniLED 3840x2160",32GB DDR5,1TB SSD,2.8,32999000,2163,120,miniLED,,MSI Indonesia 2024,Aluminum
2023,Laptop,MSI Stealth,17 Studio A13VI,STL-17S-i9-RTX4090,Intel Core i9-13980HX,NVIDIA RTX 4090 16GB,"17"" UHD miniLED 3840x2160",64GB DDR5,2TB SSD,2.8,44999000,2950,120,miniLED,,MSI Malaysia 2023,Aluminum
2024,Laptop,MSI Stealth,A16 AI+,STL-A16-AI-R9-RTX4070,AMD Ryzen AI 9 HX 370,NVIDIA RTX 4070 8GB,"16"" QHD+ OLED 2560x1600",32GB LPDDR5X,1TB SSD,2.1,32400000,2124,240,OLED,AI 50 TOPS,IDN Times 2024,Aluminum
2024,Laptop,MSI Stealth,A16 AI+ Mercedes,STL-A16-AI-AMG-R9,AMD Ryzen AI 9 HX 370,NVIDIA RTX 4070 8GB,"16"" QHD+ OLED 2560x1600",64GB LPDDR5X,2TB SSD,2.1,46999000,3081,240,OLED,AI 50 TOPS,TechNave Malaysia 2025,Aluminum
2025,Laptop,MSI Stealth,16 HX AI,STL-16HX-AI-U9-RTX5070Ti,Intel Core Ultra 9 275HX,NVIDIA RTX 5070 Ti 8GB,"16"" QHD+ miniLED 2560x1600",32GB DDR5,1TB SSD,2.1,39999000,2623,240,miniLED,AI 798 TOPS,Kana Komputer 2025,Aluminum
2025,Laptop,MSI Stealth,18 HX AI,STL-18HX-AI-U9-RTX5090,Intel Core Ultra 9 275HX,NVIDIA RTX 5090 24GB,"18"" UHD+ miniLED 3840x2400",64GB DDR5,2TB SSD,3.2,59999000,3933,120,miniLED,AI 798 TOPS,TechNave Malaysia 2025,Aluminum
2024,Laptop,MSI Raider,GE68HX 13VG,RAI-GE68HX-i9-RTX4070,Intel Core i9-13950HX,NVIDIA RTX 4070 8GB,"16"" QHD+ 2560x1600",32GB DDR5,1TB SSD,2.7,36999000,2426,240,miniLED,,MSI Indonesia 2024,Aluminum
2024,Laptop,MSI Raider,18 HX A14VGG,RAI-18HX-i9-RTX4070,Intel Core i9-14900HX,NVIDIA RTX 4070 8GB,"18"" UHD+ miniLED 3840x2400",64GB DDR5,2TB SSD,3.5,46999000,3081,120,miniLED,,MSI Malaysia 2024,Aluminum
2024,Laptop,MSI Raider,18 HX A14VHG,RAI-18HX-i9-RTX4080,Intel Core i9-14900HX,NVIDIA RTX 4080 12GB,"18"" UHD+ miniLED 3840x2400",64GB DDR5,4TB SSD,3.5,54999000,3606,120,miniLED,,MSI Malaysia 2024,Aluminum
2024,Laptop,MSI Raider,18 HX A14VIG,RAI-18HX-i9-RTX4090,Intel Core i9-14900HX,NVIDIA RTX 4090 16GB,"18"" UHD+ miniLED 3840x2400",64GB DDR5,4TB SSD,3.5,64999000,4261,120,miniLED,,MSI Indonesia 2024,Aluminum
2025,Laptop,MSI Raider,18 HX AI D2XWJKG,RAI-18HX-AI-U9-RTX5090,Intel Core Ultra 9 275HX,NVIDIA RTX 5090 24GB,"18"" UHD+ miniLED 3840x2400",96GB DDR5,4TB SSD,3.5,74999000,4917,120,miniLED,AI 798 TOPS,IDN Times 2025,Aluminum
2021,Laptop,MSI Titan,GT77 12UHS,TIT-GT77-i9-RTX3080Ti,Intel Core i9-12900HX,NVIDIA RTX 3080 Ti 16GB,"17.3"" UHD 3840x2160",64GB DDR5,2TB SSD,3.3,59999000,3933,120,IPS,,Pricebook 2025,Aluminum
2023,Laptop,MSI Titan,GT77 HX 13VI,TIT-GT77HX-i9-RTX4090,Intel Core i9-13980HX,NVIDIA RTX 4090 16GB,"17.3"" UHD 3840x2160",64GB DDR5,4TB SSD,3.3,79999000,5245,144,miniLED,,MSI Indonesia 2024,Aluminum
2024,Laptop,MSI Titan,18 HX A14VIG,TIT-18HX-i9-RTX4090,Intel Core i9-14900HX,NVIDIA RTX 4090 16GB,"18"" UHD+ miniLED 3840x2400",128GB DDR5,4TB SSD,3.6,89999000,5900,120,miniLED,,MSI Malaysia 2024,Aluminum
2023,Laptop,MSI Raider,GE76 12UHS,RAI-GE76-i9-RTX3080Ti,Intel Core i9-12900HK,NVIDIA RTX 3080 Ti 16GB,"17.3"" UHD 3840x2160",32GB DDR5,2TB SSD,2.9,49999000,3278,120,IPS,,Pricebook 2025,Aluminum
2023,Laptop,MSI Raider,GE78HX 13VG,RAI-GE78HX-i9-RTX4070,Intel Core i9-13950HX,NVIDIA RTX 4070 8GB,"17"" QHD+ 2560x1600",32GB DDR5,2TB SSD,3.1,38999000,2557,240,miniLED,,IDN Times 2024,Aluminum
2024,Laptop,MSI Raider,GE78HX 13VI,RAI-GE78HX-i9-RTX4090,Intel Core i9-13980HX,NVIDIA RTX 4090 16GB,"17"" UHD+ 3840x2400",64GB DDR5,4TB SSD,3.1,66900000,4386,240,miniLED,,IDN Times 2024,Aluminum
